,risk_free_rate
2021-11-18,8.05
2021-11-19,8.09
2021-11-20,8.09
2021-11-21,8.09
2021-11-22,8.22
2021-11-23,8.47
2021-11-24,8.29
2021-11-25,8.04
2021-11-26,8.08
2021-11-27,8.08
2021-11-28,8.08
2021-11-29,7.81
2021-11-30,7.86
